uid	total_transaction_amount	transaction_count	annualized_amount	average_term	transaction_1m_count	transaction_2m_count	transaction_3m_count	transaction_6m_count	transaction_8m_count	transaction_9m_count	transaction_12m_count	transaction_15m_count	transaction_18m_count	transaction_24m_count	transaction_1m_total_amount	transaction_2m_total_amount	transaction_3m_total_amount	transaction_6m_total_amount	transaction_8m_total_amount	transaction_9m_total_amount	transaction_12m_total_amount	transaction_15m_total_amount	transaction_18m_total_amount	transaction_24m_total_amount	app_start_total_count	app_start_count_day0	app_start_count_day1	app_start_count_day2	app_start_count_day3	app_start_count_day4	app_start_count_day5	app_start_count_day6	app_start_count_day7	app_start_count_day8	app_start_count_day9	app_start_count_day10	app_start_count_day11	app_start_count_day12	app_start_count_day13	app_start_count_day14	app_start_count_day15
13f9e9c291bbfafec762618aac2e043f	20000	2	5833.333333	3.5	1	0	0	1	0	0	0	0	0	0	10000	0	0	60000	0	0	0	0	0	0	26	22	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
29d2910b1254cb3fa98ff399c35c4a16	100	1	8.333333333	1	1	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78c990cbd5090c340dfcab6f36ee1081	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2e47cfe86031ee77b4ece91210f05f34	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	11	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
63e2a1dcdf6b455a5c31013107eb9d97	100	1	8.333333333	1	1	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	12	0	0	1	1	1	4	0	2	0	0	0	2	1	0	0	0
fb7aedb12b33b9097663a20586ffa06a	1000	1	83.33333333	1	1	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	14	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
14df7ea7be6c03639d5fedd6ad9e10b1	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	24	3	0	1	2	1	1	1	2	1	2	2	1	1	1	4	1
65e03dc717e31657d2c5ce016ff33169	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	2
d294f3f596537945532bd16345acc7d8	9000	2	1166.666667	1.555555556	1	0	0	1	0	0	0	0	0	0	8000	0	0	6000	0	0	0	0	0	0	102	6	26	14	4	2	10	2	6	0	4	4	4	6	6	4	4
40bd5198d6972be1505c89f026274e0a	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	13	0	0	1	0	0	0	0	0	11	0	0	0	0	0	1	0
69f08a5717df7d81d2943cffd1e2f5b8	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	22	14	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0
9b365bd11f2a36b3b4a535354cfc635b	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	18	4	1	1	8	0	0	1	0	0	1	0	0	2	0	0	0
612465fe6b2b62b807f1369084b1c80c	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	10	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5b6441d6bcee909ec8c129082d337916	40000	2	15833.33333	4.75	1	0	0	1	0	0	0	0	0	0	10000	0	0	180000	0	0	0	0	0	0	26	4	2	2	0	0	4	0	0	0	2	0	2	0	2	6	2
b4b77e2ef72776cde90142bf3836d523	15000	2	5833.333333	4.666666667	1	0	0	0	0	0	1	0	0	0	10000	0	0	0	0	0	60000	0	0	0	63	49	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7
1a8cce892be6831fbbe1fc9d5c5e21cc	1100	2	508.3333333	5.545454545	1	0	0	1	0	0	0	0	0	0	100	0	0	6000	0	0	0	0	0	0	80	2	0	0	0	0	2	0	14	6	4	12	2	6	12	14	6
653447d02032144a28f8dbe60114d799	40000	2	15833.33333	4.75	1	0	0	1	0	0	0	0	0	0	10000	0	0	180000	0	0	0	0	0	0	75	3	0	36	9	3	0	0	0	0	3	6	9	6	0	0	0
cd23f16a5799e39018763545b227fe25	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	20	0	1	2	1	4	0	0	1	0	4	2	2	0	2	0	1
e03eeb019fcd3d38d45e9b43e2d81eed	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	25	11	1	1	1	1	2	1	0	1	2	2	0	0	1	1	0
54239678338f15ac029a8e3dc9925de2	10000	1	833.3333333	1	1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	26	13	2	2	0	1	3	0	0	1	0	0	0	1	3	0	0
